Phrase;Emotions;;;;;"Engagement Client";;;;;;;Languages;;
;Colère;Dégoût;Peur;Joie;Tristesse;Excité;Frustré;Impoli;Poli;Triste;Satisfait;Compatissant;Analytique;Confiant;Hésitant
"rassurer vous";'-;'-;'-;0.9;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"rassurer vous je tente de joindre le docteur";'-;'-;'-;0.597854;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"c'est impossible";'-;'-;0.9;'-;0.9;'-;0.584532;'-;'-;0.913231;'-;'-;0.990154;0.97759;'-
nom;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
non;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"non madame";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"votre nom";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"raconte moi tout";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"le docteur ne réponds pas";0.787009;'-;'-;'-;'-;'-;0.59433;'-;'-;0.703988;'-;'-;'-;'-;'-
"merci de nous rappelez plus tard";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;0.618047;'-;0.620279;'-;'-
"Qui gère votre dossier";'-;'-;'-;0.582436;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je vais raccrocher si vous m'insultez";0.785894;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"calmez vous monsieur";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je vous demande de vous calmer";'-;'-;'-;0.552217;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"restez calme";0.686235;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"merci pour votre aide";'-;'-;'-;0.753357;'-;'-;'-;'-;0.783597;'-;0.842644;'-;'-;'-;'-
"le docteur va vous recevoir en urgence";'-;'-;'-;'-;'-;'-;0.766382;'-;'-;0.82651;'-;'-;'-;'-;'-
NON?;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
IMPOSSIBLE;'-;'-;0.9;'-;0.9;'-;'-;'-;'-;0.9;'-;'-;0.997482;0.996934;'-
"PEUT ETRE";'-;'-;'-;0.593016;'-;'-;'-;'-;'-;0.502139;'-;'-;'-;'-;'-
"vous êtes tous des incompétent";0.915012;'-;'-;'-;'-;'-;0.624702;'-;'-;'-;'-;'-;'-;'-;'-
"c'est pas possible";'-;'-;0.502206;'-;'-;'-;'-;'-;'-;0.754339;'-;'-;0.620279;'-;0.994446
"c'est toujours pareil";0.620516;'-;'-;'-;'-;'-;'-;'-;0.595731;'-;'-;'-;0.620279;'-;'-
"c'est toujours la meme chose";0.508496;'-;'-;'-;'-;'-;'-;'-;'-;0.589058;'-;'-;'-;'-;'-
"Ca sert a rien de vous énerver au téléphone";0.845741;'-;'-;'-;'-;'-;0.747952;'-;'-;'-;'-;'-;'-;'-;'-
"ca sert à rien de vous enerver";0.834459;'-;'-;'-;'-;'-;0.71573;'-;'-;'-;'-;'-;'-;'-;'-
"par contre je n'ai pas entendu votre nom quand vous avez crié";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"quand vous avez crié";0.573245;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je  'ai pas entendu votre nom quand vous avez crié";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je vous fais patienté un cours instant";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je vous fais patienté";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"patienté un instant";'-;'-;'-;'-;'-;'-;'-;'-;0.64402;'-;'-;'-;'-;'-;'-
"un instant";'-;'-;0.9;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"juste un instant";'-;'-;'-;0.653452;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"allo merci d'avoir patienté";'-;'-;'-;0.63525;'-;'-;'-;'-;0.903331;'-;'-;'-;'-;'-;'-
"ont n'est pas encore revenu vers vous";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.80596;'-;'-;'-;'-;'-
"c'est en cours d'investigation";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;0.506763;'-;'-
"ont se dépêche";0.60104;'-;'-;'-;'-;0.831339;'-;'-;'-;'-;'-;'-;'-;'-;'-
"ont fais au plus vite";'-;'-;'-;'-;0.668638;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"ont reviens vers vous des que nous avons une réponse";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"ont reviens vers vous";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"des que nous avons une réponse";'-;'-;'-;'-;'-;'-;'-;'-;0.821569;'-;'-;'-;0.620279;'-;'-
"ont est en train d'investigué";0.678671;'-;'-;'-;'-;'-;'-;'-;'-;0.539619;'-;'-;'-;'-;'-
"je sais plus";'-;'-;'-;'-;0.505983;0.9;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je comprends j'annule";'-;'-;'-;'-;0.593007;'-;'-;'-;'-;0.522424;'-;'-;'-;'-;'-
"ca fais un mois";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"130 euros pour rien";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"la malheureusement je peux rien faire";'-;'-;'-;'-;0.81516;'-;'-;'-;0.730999;0.619121;'-;0.86451;'-;'-;'-
"j'en informe votre gestionnaire de compte";'-;'-;'-;'-;'-;'-;'-;'-;0.73859;'-;0.697068;'-;'-;'-;'-
"le commercial ne pourra rien faire";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"il ne pourra rien faire";'-;'-;'-;'-;0.526482;'-;'-;'-;'-;0.586866;'-;'-;'-;'-;'-
"nous travaillons sur votre dossier";'-;'-;'-;'-;'-;'-;'-;'-;0.82713;'-;'-;'-;0.687768;'-;'-
"vous ne pouvez rien faire";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.84419;'-;'-;'-;'-;'-
"Il faut attendre madame";0.538381;'-;'-;'-;'-;'-;0.771557;'-;'-;0.56369;'-;'-;'-;'-;'-
"ca marche pas comme ca , suis desolé";'-;'-;'-;'-;0.653385;'-;'-;'-;'-;0.515652;'-;'-;'-;'-;'-
"arrête de crier madame";0.765121;'-;'-;'-;'-;'-;0.688159;'-;'-;0.656012;'-;'-;'-;'-;'-
"excusez moi de vous déranger";0.633687;'-;'-;'-;'-;'-;'-;'-;'-;0.635675;'-;'-;'-;'-;'-
d'accord;'-;'-;'-;0.9;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"ok je pense que";'-;'-;'-;0.538287;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je pense que";'-;'-;'-;0.9;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je vais me renseigner";'-;'-;'-;'-;'-;'-;'-;'-;0.903141;'-;'-;'-;'-;'-;'-
"je me renseigne";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.645634;'-;'-;'-;'-;'-
"un instant je me renseigne";'-;'-;'-;0.503226;'-;'-;'-;'-;'-;0.645634;'-;'-;'-;'-;'-
"quittez pas";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"ne quitter pas";0.540482;'-;'-;'-;'-;'-;'-;'-;'-;0.715451;'-;'-;'-;'-;'-
"il devra les renseigner";'-;'-;'-;'-;'-;'-;'-;'-;0.823976;'-;'-;'-;'-;'-;'-
"c'est une erreur";'-;'-;'-;'-;0.9;'-;'-;'-;'-;0.617795;'-;'-;0.620279;'-;'-
"je que je vous conseigne";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"ce que je vous conseigne";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"si je clic sur ce bouton c'est vous qui me l'autorisé";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.55674;'-;'-;'-;'-;'-
"ne vous énervé pas j'essaie juste de vous expliquer";'-;'-;'-;'-;'-;'-;0.550237;'-;'-;0.849331;'-;'-;'-;'-;'-
"ne vous énerver pas";'-;'-;'-;'-;'-;'-;0.658439;'-;'-;0.999382;'-;'-;'-;'-;'-
"non vous n'y toucher pas";0.511474;'-;'-;'-;'-;'-;'-;'-;'-;0.648037;'-;'-;'-;'-;'-
"je peux m'exprimer monsieur";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"laisser moi m'exprimer";0.509488;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"du coup si";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je suis pas développeur";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"je ne suis pas sur place";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.588189;'-;'-;'-;'-;'-
"je ne suis pas";'-;'-;'-;'-;'-;'-;0.646475;'-;'-;0.999283;'-;'-;'-;'-;'-
voila;'-;'-;'-;'-;0.9;'-;'-;1;'-;'-;'-;'-;'-;'-;'-
"vous etes responsable";0.554543;'-;'-;'-;'-;'-;'-;'-;'-;0.655827;'-;'-;'-;'-;'-
"ont ne propose pas";'-;'-;'-;'-;'-;'-;'-;'-;0.565419;0.768265;'-;'-;0.982476;'-;'-
"pourquoi vous me demander de supprimer";0.747453;'-;'-;'-;'-;'-;0.612794;'-;'-;0.717327;'-;'-;'-;'-;'-
"vous me prenez mon temps";'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-;'-
"dépêchez vous";0.60104;'-;'-;'-;'-;'-;'-;'-;'-;0.607223;'-;'-;'-;'-;'-
"qui s’enlève les doigts du cul";0.579101;'-;'-;'-;'-;'-;'-;0.880395;'-;'-;'-;'-;'-;'-;'-
"qui s’enlève les doigt du cul vos développeur";0.558362;'-;'-;'-;'-;'-;0.640353;0.881141;'-;0.608619;'-;'-;'-;'-;'-
"ont est encore tout jeune";'-;'-;'-;'-;'-;'-;'-;'-;0.696381;'-;'-;0.872361;'-;'-;'-
"nous vous énervé pas";0.900067;'-;'-;'-;'-;'-;0.634954;'-;'-;0.624795;'-;'-;0.762356;'-;'-
"ca c'est pas normal";'-;'-;'-;'-;'-;'-;'-;'-;'-;0.500827;'-;'-;0.948998;'-;'-
